Transaction ID,Date,Datetime,Authorization Date,Authorization Datetime,Name,Amount,Merchent Name,Merchent Entity ID,Website,Payment Channel,Category,Category Confidence,Account ID
yqywnaE1y8UpAkmVbd8MCV4vMjLBG7i469vaA,2025-08-12,,,,CASH APP TRANSFER,17.263767,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
nEevnX7de8sb7mqNLZ5ecomNzdgL3jIAV18VV,2025-08-12,,,,CHECKCARD XX/XX E Z PASS VA WEB 2805313677,28.86902,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
bErZWaKnrms1Jvgmdp56hladRMwmX5fmb5vkQ,2025-08-12,,,,Chevron,114.33976,,,chevron.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
V46BDXEJ6Nsnkm8J3bM9taornoE6dzI9yvnDX,2025-08-12,,,,Domino's,143.36865,,,dominos.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
vXyvnroQy8I7QBbaG9gZsLjpXjG1A4FqePXg5,2025-08-12,,,,MICROSOFT 703383,3.8959668,,,microsoft.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
XP6xWNAJ6jTmvWxearLqIoMa4MemjAubjrxDG,2025-08-12,,,,MONEY TRANSFER AUTHORIZED ON XX/XX FROM Earnin Transfer CA S745461724310856 CARD 1708,-73,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
GZAJDG4XANSepBEynqrvfwgjnKv1JaT6xDWxK,2025-08-12,,,,Meijer,371.5135,,,meijer.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
R36qDepn6xSrklqWnx7Ef4K3wGr8dRfapK1qN,2025-08-12,,,,TRANSFER Earnin Trans Money Transf CA CARD6384,-87,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
R36qDepn6xSrklqWnx7Efr3Bz3pyakiakLGZn,2025-08-12,,,,Transfer to Dave,102,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
my7vnejx78fbw9lm18rpc19nwaxgXDTgpB7pZ,2025-08-12,,,,Venmo,678,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
D76JDrkX6dSPMwJkojlRC7zr6zbmx1i3RrXZk,2025-08-12,,,,WEB XFER TO SAV 01458765980506,191,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
NK6JDeZX6rUoJjZv9r4kt61nvvK1pxty6MWDj,2025-08-11,,,,ATM Rebate,-9,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
BPAJbqBXA3T4beBk9NGkfzKorE4DXMfzE8bpZ,2025-08-11,,,,Apple Cash - Sent Mone,24,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
zKVvX4WLVDUX5rq1BwE1cvkMNj8aPni3rL5yg,2025-08-11,,,,Brigit XX/XX #662490788 PMNT RCVD Brigit,-70,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
xlyvnd8MyQTm7Kw9bR6duQRyNNVR6jh64DnGG,2025-08-11,,,,MARIA S PIZZE EC 640,27.910885,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
Kk6JDe7X6lF1oZE8rlx8IRmNvkGMaxtEqAx9E,2025-08-11,,,,Netflix,17.478123,,,netflix.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
apKQbEqDKmH5gMmBx8nwCb6Pppn6DECZ5g7WN,2025-08-11,,,,Online Banking payment to CRD 7088 Confirmation# 7478899803,648,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
rE1vnLMP1ms76Lep8nKpS46ALzlaPgid46eAa,2025-08-11,,,,Pizza Hut,247.2632,,,pizzahut.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
dEB16lzbBmsv9Qjm4JygIabqvvnboeuJE4ZWw,2025-08-11,,,,Purchase CANTEEN VENDING,5,,,canteen.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
31oMAWE5o9f8qMBl5eolhWMDKVozlEFm6nDjQ,2025-08-11,,,,Sweetgreen inc payroll ppd id,-810,,,sweetgreen.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
bErZWaKnrms1Jvgmdp59uE1J4n1xAzImKvQGJ,2025-08-10,,,,72116609 POS PURCHASE EARNIN RE SC 6 721582259,58,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
nEevnX7de8sb7mqNLZ5jtjp8lpNe7EcAVREVa,2025-08-10,,,,87611485 AMAZON - LEN N,7.8692217,,,amazon.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
my7vnejx78fbw9lm18rntDWqkWnmKNtgpNPpB,2025-08-10,,,,Autosave Savings 52696091989,69.83455,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
vXyvnroQy8I7QBbaG9gofRlvNalbrWuqe7AoW,2025-08-10,,,,H&R Block,-3248.059,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
V46BDXEJ6Nsnkm8J3bvgFm75pwejNET9ZlVrk,2025-08-10,,,,Interest payment,-0.12,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
vXyvnroQy8I7QBbaG9gofMWAEWrz4xUqeml6N,2025-08-10,,,,Purchase CANTEEN VENDING,5,,,canteen.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
wEwvmzkZw8sQkXAPnKBZs5XdkGzqo9cP1Mp8w,2025-08-10,,,,Spotify,12.65,,,spotify.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
9rDJEvmXD9UqmQJ6xLz3Cyk1xkgVPLf4y1nxZ,2025-08-10,,,,Withdrawal to Simply Checking 3788577504,1081,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
dEB16lzbBmsv9Qjm4J8KiQe8Wq1DpxtJn9bpb,2025-08-07,,,,POS PUR 449399193 04/07 TIMESTAMP THE PIZZA PLACE 4205 NEW YORK NY 634330,2.8096795,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
BPAJbqBXA3T4beBk9NKdF8r7y9lDWxt4xaplK,2025-08-06,,,,60904 PURCHASE-SIG 09/21 TIMESTAMP UPLIFT RE 9123348 562542 SC 63432961 3968766,20.519363,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
xlyvnd8MyQTm7Kw9bRjGs4j9LyqJpxC6Kgzb1,2025-08-06,,,,QUEENS BAR 35 E GRAND RIVER AVE #9 DETROIT MI CARD 29602991,4.26607,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
zKVvX4WLVDUX5rq1Bwn7tGN4QV7aydClXjynG,2025-08-06,,,,UBER 588639690 RIDE 05/12 CA 12095 DEBIT CARD PURCHASE 04/04 TIMESTAMP 8102241,12.202726,,,uber.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
31oMAWE5o9f8qMBl5emDI1KXr6gzyBHZVXjxp,2025-08-06,,,,Walmart,6.2822237,,,walmart.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
qwMvymZkM8HN7RZLgVyAFKy9PlnN7GSgyxj3r,2025-08-05,,,,CASH APP TRANSFER,20,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
Kk6JDe7X6lF1oZE8rlm6HZvgprQMneCRDJ9QX,2025-08-05,,,,Planet Fitness,25.983858,,,planetfitness.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
rE1vnLMP1ms76Lep8n1DURLKrwZaD9u7kmAze,2025-08-05,,,,WITHDRAWAL 02178293119 POS POUR CHOICES,5.5849614,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
JL6JDGjX67sMA4qv7zWms4xnl7PMR6CBexyPe,2025-08-04,,,,CASH APP TRANSFER,19,,,,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
5pRkmwA8R9HkrZpoB3QmTkxn6P1NrMf5QJnm8,2025-08-04,,,,MICROSOFT 979333884,3.25206,,,microsoft.com,,,,5pRkmwA8R9HkrZpoB3QmTkxGPbeaxoS5QJnlX
